IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
111.65.134.21,30003,TRUE,KIX,JP,Asia Pacific,Osaka,17573,SK Broadband Co Ltd,386,1.33
175.125.207.253,36167,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,318,1.27
175.125.207.253,18101,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,273,1.21
175.125.207.253,12506,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,264,1.18
175.125.207.253,12480,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,298,1.15
121.170.103.123,11065,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,314,1.09
121.170.103.123,32774,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,235,1.08
175.125.207.253,12522,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,305,1.06
140.238.7.57,9999,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,326,0.94
175.125.207.253,12451,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,278,0.92
175.125.207.253,13980,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,305,0.82
59.187.242.236,10255,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,982,0.75
121.170.103.123,10200,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,236,0.63
175.125.207.253,12125,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,301,0.54
220.125.55.47,30061,TRUE,KIX,JP,Asia Pacific,Osaka,4766,Korea Telecom,621,0.54
175.125.207.253,30312,TRUE,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,266,0.52
59.187.242.236,16401,TRUE,NRT,JP,Asia Pacific,Tokyo,7562,HCN Dongjak,867,0.50
175.125.147.164,12449,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,319,0.49
124.80.55.214,30050,TRUE,KIX,JP,Asia Pacific,Osaka,17849,SK Broadband Co Ltd,386,0.48
59.187.242.236,12363,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,762,0.42
218.237.145.165,16093,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,221,0.38
59.187.242.236,12293,TRUE,NRT,JP,Asia Pacific,Tokyo,7562,HCN Dongjak,820,0.36
59.187.242.236,12296,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,722,0.35
121.170.103.123,21263,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,576,0.33
59.187.242.236,10093,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,787,0.33
175.125.207.253,18042,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,238,0.32
175.125.207.253,21306,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,272,0.29
59.187.242.236,12152,TRUE,NRT,JP,Asia Pacific,Tokyo,7562,HCN Dongjak,984,0.28
59.187.242.236,18010,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,897,0.27
175.125.207.253,21241,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,277,0.19
59.187.242.236,10041,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,853,0.16
59.187.242.236,12419,TRUE,NRT,JP,Asia Pacific,Tokyo,7562,HCN Dongjak,767,0.14
175.125.207.253,16002,TRUE,KIX,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,287,0.13
59.187.242.236,32757,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,729,0.13
59.187.242.236,22103,TRUE,NRT,JP,Asia Pacific,Tokyo,7562,HCN Dongjak,951,0.12
59.187.242.236,12433,TRUE,FUK,JP,Asia Pacific,Fukuoka,7562,HCN Dongjak,726,0.12
58.239.203.25,21299,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,207,0.08
146.56.99.255,56789,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,433,0.07
210.222.133.55,32412,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,644,0.01
